D2ADA,2º ALFA A DIURNO - DIREITO - 005
D2ADB,2º ALFA B  DIURNO - DIREITO - 015
D2ANA,2º ALFA A NOTURNO - DIREITO - 007
D2ANB,2º ALFA B NOTURNO - DIREITO - 021
D2GNA,2º GAMA A NOTURNO - DIREITO - 008
D2GNB,2º GAMA B NOTURNO - DIREITO - 022
D2ADA,2º ALFA A DIURNO - DIREITO - 005
D2ADB,2º ALFA B  DIURNO - DIREITO - 015
D2ANA,2º ALFA A NOTURNO - DIREITO - 007
D2ANB,2º ALFA B NOTURNO - DIREITO - 021
D2GNA,2º GAMA A NOTURNO - DIREITO - 008
D2GNB,2º GAMA B NOTURNO - DIREITO - 022
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D2ADA,2º ALFA A DIURNO - DIREITO - 005
D2ADB,2º ALFA B  DIURNO - DIREITO - 015
D2ANA,2º ALFA A NOTURNO - DIREITO - 007
D2ANB,2º ALFA B NOTURNO - DIREITO - 021
D2GNA,2º GAMA A NOTURNO - DIREITO - 008
D2GNB,2º GAMA B NOTURNO - DIREITO - 022
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D2ADA,2º ALFA A DIURNO - DIREITO - 005
D2ADB,2º ALFA B  DIURNO - DIREITO - 015
D2ANA,2º ALFA A NOTURNO - DIREITO - 007
D2ANB,2º ALFA B NOTURNO - DIREITO - 021
D2GNA,2º GAMA A NOTURNO - DIREITO - 008
D2GNB,2º GAMA B NOTURNO - DIREITO - 022
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D1ADA,1º ALFA DIURNO - DIREITO - 001
D1ANA,1º ALFA NOTURNO - DIREITO - 003
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA NOTURNO - DIREITO - 004
D2ADA,2º ALFA A DIURNO - DIREITO - 005
D2ADB,2º ALFA B  DIURNO - DIREITO - 015
D2ANA,2º ALFA A NOTURNO - DIREITO - 007
D2ANB,2º ALFA B NOTURNO - DIREITO - 021
D2GNA,2º GAMA A NOTURNO - DIREITO - 008
D2GNB,2º GAMA B NOTURNO - DIREITO - 022
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D4ADA,4º ALFA DIURNO - DIREITO - 0025
D4ANA,4º ALFA A NOTURNO - DIREITO - 0027
D4ANB,4º ALFA B NOTURNO - DIREITO - 0031
D4GNA,4º GAMA A NOTURNO - DIREITO - 0028
D4GNB,4º GAMA B NOTURNO - DIREITO - 0032
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D4ADA,4º ALFA DIURNO - DIREITO - 0025
D4ANA,4º ALFA A NOTURNO - DIREITO - 0027
D4ANB,4º ALFA B NOTURNO - DIREITO - 0031
D4GNA,4º GAMA A NOTURNO - DIREITO - 0028
D4GNB,4º GAMA B NOTURNO - DIREITO - 0032
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D4ADA,4º ALFA DIURNO - DIREITO - 0025
D4ANA,4º ALFA A NOTURNO - DIREITO - 0027
D4ANB,4º ALFA B NOTURNO - DIREITO - 0031
D4GNA,4º GAMA A NOTURNO - DIREITO - 0028
D4GNB,4º GAMA B NOTURNO - DIREITO - 0032
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D4ADA,4º ALFA DIURNO - DIREITO - 0025
D4ANA,4º ALFA A NOTURNO - DIREITO - 0027
D4ANB,4º ALFA B NOTURNO - DIREITO - 0031
D4GNA,4º GAMA A NOTURNO - DIREITO - 0028
D4GNB,4º GAMA B NOTURNO - DIREITO - 0032
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D3ADA,3º ALFA DIURNO - DIREITO - 009
D3ANA,3º ALFA NOTURO - DIREITO - 011
D3GNA,3º GAMA NOTURO - DIREITO - 012
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D1ANA,1º ALFA A NOTURNO - DIREITO - 0001
D1ANB,1º ALFA B NOTURO - DIREITO - 019
D1BNA,1º BETA NOTURNO - DIREITO - 0002
D1GNA,1º GAMA A NOTURNO - DIREITO - 0003
D1GNB,1º GAMA B NOTURNO - DIREITO - 020
D4ADA,4º ALFA DIURNO - DIREITO - 0025
D4ANA,4º ALFA A NOTURNO - DIREITO - 0027
D4ANB,4º ALFA B NOTURNO - DIREITO - 0031
D4GNA,4º GAMA A NOTURNO - DIREITO - 0028
D4GNB,4º GAMA B NOTURNO - DIREITO - 0032
D2ANA,2º ALFA NOTURNO - DIREITO - 007
D6ADA,6º ALFA DIURNO - DIREITO - 0041
D6ANA,6º ALFA A NOTURNO - DIREITO - 0042
D6ANB,6º ALFA B NOTURNO - DIREITO - 0044
D6GNA,6º GAMA A NOTURNO - DIREITO - 0043
D6GNB,6º GAMA B NOTURNO - DIREITO - 0045
D2ANA,2º ALFA NOTURNO - DIREITO - 007
